date,price,service,address
2018-10-30,2.79,Gulf,"242 Daniel Webster Hwy, Nashua, NH"
2018-10-30,2.66,Sam's Club,"7 Walmart Blvd, Hudson, NH"
2018-10-30,2.75,Cumberland Farms,"308 Daniel Webster Hwy, Nashua, NH"
2018-10-30,2.7,Haffner's,"215 Lowell Rd, Hudson, NH"
2018-10-30,2.69,Mutual,"397 Middlesex Rd, Tyngsborough, MA"
2018-10-30,2.69,Irving,"4 Executive Dr, Hudson, NH"
2018-10-30,2.81,Shell,"7 Harris Rd, Nashua, NH"
2018-10-30,2.89,Gulf,"337 Main St, Nashua, NH"
2018-10-30,2.72,Sunoco,"74 Lowell Rd  , Hudson, NH"
2018-10-30,2.79,Shell,"301 Main St, Nashua, NH"
2018-10-30,2.79,Alltown,"43 E Hollis St, Nashua, NH"
2018-10-30,2.74,Speedway,"79 E Hollis St, Nashua, NH"
2018-10-30,2.75,Kenoco,"55 West Hollis St, Nashua, NH"
2018-10-30,2.81,Sunoco,"270 W Hollis St, Nashua, NH"
2018-10-30,2.77,EZ Stop,"163 Main Dunstable Rd, Nashua, NH"
2018-10-30,2.8,Gulf,"18 Ferry St, Hudson, NH"
2018-10-30,2.81,Shell,"347 W Hollis St, Nashua, NH"
2018-10-30,2.74,Sunoco,"727 Manhattan Ave, Nashua, NH"
2018-10-30,2.79,Gulf,"21 Main St, Manchester, NH"
2018-10-30,2.79,CITGO,"217 Union St, Manchester, NH"
2018-10-30,2.59,7-Eleven,"557 Maple St, Manchester, NH"
2018-10-30,2.64,7-Eleven,"85 S Main St, Manchester, NH"
2018-10-30,2.61,7-Eleven,"242 Beech St, Manchester, NH"
2018-10-30,2.89,Mobil,"210 Eddy Rd, Manchester, NH"
2018-10-30,2.79,Mobil,"1602 Elm St, Manchester, NH"
2018-10-30,2.65,7-Eleven,"117 Queen City Ave, Manchester, NH"
2018-10-30,2.89,Shell,"245 Eddy Rd, Manchester, NH"
