date,price,service,address
2018-10-30,2.67,7-Eleven,"27 Washington Ave, Maine, ME        "
2018-10-30,2.69,CITGO,"2 Park Ave, Portland, ME"
2018-10-30,2.84,Cumberland Farms,"801 Washington Ave, Portland, ME"
2018-10-30,2.79,Mobil,"518 Forest Ave, Maine, ME        "
2018-10-30,2.79,7-Eleven,"704 Congress St, Portland, ME"
2018-10-30,2.77,Irving,"393 Commercial St, Portland, ME"
2018-10-30,2.78,Cumberland Farms,"49 Pine St, Portland, ME"
2018-10-30,2.79,Gulf,"205 Brighton Ave, Portland, ME"
2018-10-30,2.89,Gulf,"1199 Congress St, Portland, ME"
2018-10-30,2.87,Mobil,"1196 Congress St, Portland, ME"
2018-10-30,2.81,Cumberland Farms,"1136 Forest Ave, Portland, ME"
2018-10-30,2.73,Sunoco,"1185 Forest Ave, Portland, ME"
2018-10-30,2.84,Cumberland Farms,"512 Woodford St, Portland, ME"
2018-10-30,2.66,Atlantic,"333 Broadway, South Portland, ME"
2018-10-30,2.79,Irving,"682 Broadway , South Portland, ME"
2018-10-30,2.79,CITGO,"1585 Forest Ave, Portland, ME"
2018-10-30,2.86,CITGO,"178 US-1, Falmouth, ME"
2018-10-30,2.73,Sunoco,"1185 Forest Ave, Portland, ME"
2018-10-30,2.84,Cumberland Farms,"801 Washington Ave, Portland, ME"
2018-10-30,2.79,Mobil,"518 Forest Ave, Maine, ME        "
2018-10-30,2.84,Cumberland Farms,"512 Woodford St, Portland, ME"
2018-10-30,2.79,CITGO,"1585 Forest Ave, Portland, ME"
2018-10-30,2.79,Gulf,"205 Brighton Ave, Portland, ME"
2018-10-30,2.67,BJ's,"513 -515 Warren Ave, Portland, ME"
2018-10-30,2.87,Mobil,"1196 Congress St, Portland, ME"
2018-10-30,2.89,Gulf,"1199 Congress St, Portland, ME"
2018-10-30,2.73,7-Eleven,"1917 Forest Ave, Maine, ME        "
2018-10-30,2.73,Irving,"270 Riverside St, Portland, ME"
