date,price,service,address
2018-10-30,2.69,Texaco,"400 19th St S , Birmingham, AL"
2018-10-30,2.59,Chevron,"2188 Highland Ave S, Birmingham, AL"
2018-10-30,2.69,Shell,"2236 Highland Ave S, Birmingham, AL"
2018-10-30,2.69,Claremont Food Mart,"3800 Clairmont Ave, Birmingham, AL"
2018-10-30,2.59,Sunoco,"300 41st St S , Birmingham, AL"
2018-10-30,2.59,Chevron,"4101 3rd Ave S, Birmingham, AL"
2018-10-30,2.59,Chevron,"900 University Blvd, Birmingham, AL"
2018-10-30,2.49,Mystik,"3828 Messer Airport Hwy, Birmingham, AL"
2018-10-30,2.55,Shell,"4012 Airport Hwy, Birmingham, AL"
2018-10-30,2.54,CITGO,"1101 3rd Ave N , Birmingham, AL"
2018-10-30,2.49,Jet-Pep,"1716 20th, Ensley, AL"
2018-10-30,2.51,Marathon,"2121 19th St, Birmingham, AL"
2018-10-30,2.49,Smart Food Mart,"900 20th St, Birmingham, AL"
2018-10-30,2.49,Wavaho,"600 20th St, Ensley, AL"
2018-10-30,2.49,Mystik,"1120 Spring Hill Ave, Mobile, AL"
2018-10-30,2.69,Shell,"158 N Broad St, Mobile, AL"
2018-10-30,2.56,Texaco,"1507-A Springhill Ave, Mobile, AL"
2018-10-30,2.45,Shell,"559 Virginia St, Mobile, AL"
2018-10-30,2.49,Chevron,"1167 S Broad St , Mobile, AL"
2018-10-30,2.59,Exxon,"420 N Water St, Mobile, AL"
2018-10-30,2.38,Sam's Club,"601 E  I-65 Service Rd, Mobile, AL"
2018-10-30,2.69,Shell,"3250 Airport Blvd, Mobile, AL"
2018-10-30,2.59,Shell,"3660 Airport Blvd, Mobile, AL"
2018-10-30,2.55,Valero,"379 Azalea Rd , Mobile, AL"
2018-10-30,2.69,Shell,"1254 Montlimar Dr, Mobile, AL"
2018-10-30,2.59,Chevron,"399 Azalea Rd, Mobile, AL"
2018-10-30,2.39,Murphy Express,"150 Springdale Blvd, Mobile, AL"
2018-10-30,2.43,BP,"3251 Dauphin St, Mobile, AL"
2018-10-30,2.59,Shell,"750 Azalea Rd, Mobile, AL"
2018-10-30,2.49,Shell,"3274 Dauphin St, Mobile, AL"
2018-10-30,2.69,Chevron,"139 S Sage Ave, Mobile, AL"
2018-10-30,2.49,Shell,"3550 Government Blvd, Mobile, AL"
2018-10-30,2.45,RaceWay,"3051 Government Blvd, Mobile, AL"
2018-10-30,2.54,Shell,"3000 Dauphin St, Mobile, AL"
2018-10-30,2.49,Gasco,"4450 Old Shell Rd, Mobile, AL"
2018-10-30,2.57,Minute Stop,"2781 Government Blvd, Mobile, AL"
2018-10-30,2.69,Bebo's Spring Hill Market,"3614 Old Shell Rd, Mobile, AL"
2018-10-30,2.39,Murphy Express,"4640 Airport Blvd, Mobile, AL"
2018-10-30,2.59,Chevron,"2909 Independence Dr, Homewood, AL"
2018-10-30,2.59,Shell,"2908 Independence Dr, Homewood, AL"
2018-10-30,2.59,Shell,"2702 Cahaba Rd, Mountain Brook, AL"
2018-10-30,2.59,BP,"2614 Mamie L Foster, Homewood, AL"
2018-10-30,2.59,Chevron,"705 Montgomery Hwy, Vestavia Hills, AL"
2018-10-30,2.59,Shell,"728 Montgomery Hwy, Vestavia Hills, AL"
2018-10-30,2.46,BP,"1250 Columbiana Rd, Homewood, AL"
2018-10-30,2.59,Shell,"700 Valley Ave, Birmingham, AL"
2018-10-30,2.51,Exxon,"821 Green Springs Hwy, Homewood, AL"
2018-10-30,2.5,Sunoco,"820 Green Springs Hwy, Homewood, AL"
2018-10-30,2.63,Marathon,"401 Palisades Blvd, Homewood, AL"
2018-10-30,2.65,Chevron,"3100 Cahaba Heights Rd, Cahaba Heights, AL"
2018-10-30,2.65,Texaco,"3101 Cahaba Heights Rd, Cahaba Heights, AL"
2018-10-30,2.59,Chevron,"2188 Highland Ave S, Birmingham, AL"
2018-10-30,2.52,Mobil,"400 Green Springs Hwy, Homewood, AL"
2018-10-30,2.59,Shell,"250 Green Springs Hwy, Homewood, AL"
2018-10-30,2.69,Shell,"2236 Highland Ave S, Birmingham, AL"
2018-10-30,2.4,Murphy USA,"805 Ann St, Montgomery, AL"
2018-10-30,2.47,Z-Mart,"1100 Ann St, Montgomery, AL"
2018-10-30,2.43,Circle K,"1024 Ann St, Montgomery, AL"
2018-10-30,2.45,CITGO,"1624 Upper Wetumpka Rd, Montgomery, AL"
2018-10-30,2.47,Pacecar,"1115 Ann St, Montgomery, AL"
2018-10-30,2.43,Circle K,"1024 Ann St, Montgomery, AL"
2018-10-30,2.65,Chevron,"1129 Highland Ave, Montgomery, AL"
2018-10-30,2.53,Shell,"3445 Atlanta Hwy, Montgomery, AL"
2018-10-30,2.59,Pure,"2540 Fairground Rd, Montgomery, AL"
2018-10-30,2.54,Marathon,"1705 Carter Hill Rd, Montgomery, AL"
2018-10-30,2.45,CITGO,"300 Coliseum Blvd, Montgomery, AL"
2018-10-30,2.54,Liberty,"1121 Carter Hill Rd , Montgomery, AL"
