date,price,service,address
2018-10-30,2.49,Gulf,"706 S Water St, Kent, OH"
2018-10-30,2.53,Sheetz,"1762 E Main St, Kent, OH"
2018-10-30,2.49,Kent Fuel and Mini Mart,"1337 S Water St, Kent, OH"
2018-10-30,2.51,Sunoco,"1836 E Main St, Kent, OH"
2018-10-30,2.56,Sheetz,"600 N Mantua St, Kent, OH"
2018-10-30,2.56,Circle K,"850 N Mantua St, Kent, OH"
2018-10-30,2.59,Shell,"1152 W Main St, Kent, OH"
2018-10-30,2.56,Speedway,"1295 W Main St, Kent, OH"
2018-10-30,2.56,BP,"4415 OH-43, Brimfield, OH"
2018-10-30,2.56,Speedway,"4261 OH-43, Brimfield, OH"
2018-10-30,2.54,Circle K,"1343 Tallmadge Rd , Brimfield, OH"
2018-10-30,2.57,BP,"3050 Graham Rd, Stow, OH"
2018-10-30,2.56,Murphy USA,"262 Tallmadge Rd, Brimfield, OH"
2018-10-30,2.54,Circle K,"1029 W Main St, Ravenna, OH"
2018-10-30,2.57,Circle K,"4936 Fishcreek Rd, Stow, OH"
2018-10-30,2.57,Speedway,"4969 Fishcreek Rd, Stow, OH"
2018-10-30,2.73,Sunoco,"102 E Lake St, Ravenna, OH"
2018-10-30,2.57,Circle K,"85 S Main St, Munroe Falls, OH"
2018-10-30,2.57,Clark,"800 Prospect, Ravenna, OH"
2018-10-30,2.75,Exxon,"693 E 5th Ave, Columbus, OH"
2018-10-30,2.74,Sunoco,"849 E 5th Ave, Columbus, OH"
2018-10-30,2.69,Shell,"2187 Neil Ave, Columbus, OH"
2018-10-30,2.82,BP,"660 Neil Ave, Columbus, OH"
2018-10-30,2.58,BP,"1347 Olentangy River Rd, Columbus, OH"
2018-10-30,2.58,Speedway,"744 W Fifth Ave, Columbus, OH"
2018-10-30,2.65,GetGo,"820 W 3rd Ave, Grandview Heights, OH"
2018-10-30,2.57,Speedway,"2510 N High St, Columbus, OH"
2018-10-30,2.54,United Dairy Farmers,"327 E Hudson St, Columbus, OH"
2018-10-30,2.53,United Dairy Farmers,"993 King Ave, Columbus, OH"
2018-10-30,2.54,Sunoco,"2570 N High St, Columbus, OH"
2018-10-30,2.59,Shell,"666 E Hudson St, Columbus, OH"
2018-10-30,2.53,Circle K,"1574 Kenny Rd, Columbus, OH"
2018-10-30,2.59,Marathon,"744 E Hudson St, Columbus, OH"
2018-10-30,2.59,Turkey Hill,"2685 N High St, Columbus, OH"
2018-10-30,2.49,Uncle Max,"1221 E Hudson St, Columbus, OH"
2018-10-30,2.59,Sunoco,"14005 Madison Ave, Lakewood, OH"
2018-10-30,2.61,BP,"14718 Madison Ave, Lakewood, OH"
2018-10-30,2.59,GetGo,"14013 Detroit Ave, Lakewood, OH"
2018-10-30,2.95,Marathon,"14588 Madison Ave, Lakewood, OH"
2018-10-30,2.59,Speedy Gas,"14001 Lakewood Heights Blvd, Cleveland, OH"
2018-10-30,2.61,Circle K,"13933 Lakewood Heights Blvd, Cleveland, OH"
2018-10-30,2.53,Lakewood One Stop,"13100 Madison Ave, Lakewood, OH"
2018-10-30,2.59,Marathon,"18100 Sloane Ave, Lakewood, OH"
2018-10-30,2.59,Sunoco,"12511 Detroit Ave, Lakewood, OH"
2018-10-30,2.59,Circle K,"13951 Triskett Ave, Cleveland, OH"
