date,price,service,address
2018-10-30,3.88,Aloha,"2025 Kalakaua Ave, Waikiki, HI"
2018-10-30,3.83,Hele,"1549 S King St, Pawa'a, HI"
2018-10-30,3.89,Texaco,"2969 S King St, Kaimuki, HI"
2018-10-30,3.87,76,"2105 S King St, Mo'ili'ili, HI"
2018-10-30,3.83,Hele,"2028 Wilder Ave, Manoa, HI"
2018-10-30,3.85,76,"2646 S King St, Mo'ili'ili, HI"
2018-10-30,3.86,76,"1323 Kalakaua Ave, Pawa'a, HI"
2018-10-30,3.81,Aloha,"1001 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.89,76,"1406 S Beretania St, Pawa'a, HI"
2018-10-30,3.87,Cosmo Yajima,"1375 S King St, Ala Moana, HI"
2018-10-30,3.89,Texaco,"1378 S Beretania St, Pawa'a, HI"
2018-10-30,3.87,Shell,"3075 Waialae , Kaimuki, HI"
2018-10-30,3.68,Hele,"707 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.88,Texaco,"1201 S King St, Makiki, HI"
2018-10-30,3.88,76,"1206 S King St, Makiki, HI"
2018-10-30,3.82,76,"505 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.81,Aloha,"3327 Campbell Ave, Kapahulu, HI"
2018-10-30,3.87,76,"3236 Wai'alae Ave, Kaimuki, HI"
2018-10-30,3.85,Texaco,"407 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.89,Texaco,"1139 Kapiolani Blvd, Kaka'ako, HI"
2018-10-30,3.82,76,"505 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.85,Texaco,"407 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.68,Hele,"707 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.85,76,"2646 S King St, Mo'ili'ili, HI"
2018-10-30,3.89,Texaco,"2969 S King St, Kaimuki, HI"
2018-10-30,3.81,Aloha,"3327 Campbell Ave, Kapahulu, HI"
2018-10-30,3.81,Aloha,"1001 Kapahulu Ave, Kapahulu, HI"
2018-10-30,3.87,76,"2105 S King St, Mo'ili'ili, HI"
2018-10-30,3.89,Shell,"1115 McCully St, Mo'ili'ili, HI"
2018-10-30,3.87,Shell,"3075 Waialae , Kaimuki, HI"
2018-10-30,3.81,Aloha,"3211 Monsarrat Ave, Kapahulu, HI"
2018-10-30,3.83,Hele,"1549 S King St, Pawa'a, HI"
2018-10-30,3.83,Hele,"2028 Wilder Ave, Manoa, HI"
2018-10-30,3.86,76,"1323 Kalakaua Ave, Pawa'a, HI"
2018-10-30,3.87,76,"3236 Wai'alae Ave, Kaimuki, HI"
2018-10-30,3.87,Cosmo Yajima,"1375 S King St, Ala Moana, HI"
2018-10-30,3.89,76,"1406 S Beretania St, Pawa'a, HI"
2018-10-30,3.83,Kaimuki Auto Repair,"3375 Wai‘alae Ave, Kaimuki, HI"
2018-10-30,3.89,Texaco,"1378 S Beretania St, Pawa'a, HI"
2018-10-30,3.88,Texaco,"1201 S King St, Makiki, HI"
2018-10-30,3.88,76,"1206 S King St, Makiki, HI"
2018-10-30,3.83,Hele,"1549 S King St, Pawa'a, HI"
2018-10-30,3.89,76,"1406 S Beretania St, Pawa'a, HI"
2018-10-30,3.89,Texaco,"1378 S Beretania St, Pawa'a, HI"
2018-10-30,3.87,Cosmo Yajima,"1375 S King St, Ala Moana, HI"
2018-10-30,3.88,Texaco,"1201 S King St, Makiki, HI"
2018-10-30,3.86,76,"1323 Kalakaua Ave, Pawa'a, HI"
2018-10-30,3.89,Texaco,"1139 Kapiolani Blvd, Kaka'ako, HI"
2018-10-30,3.82,Hele,"882 S Beretania St, Honolulu, HI"
2018-10-30,3.9,Shell,"520 Ward Ave, Kaka'ako, HI"
2018-10-30,3.89,Shell,"1115 McCully St, Mo'ili'ili, HI"
2018-10-30,3.87,76,"2105 S King St, Mo'ili'ili, HI"
2018-10-30,3.88,Aloha,"2025 Kalakaua Ave, Waikiki, HI"
2018-10-30,3.83,Hele,"2028 Wilder Ave, Manoa, HI"
2018-10-30,3.73,Aloha,"215 S Vineyard Blvd, Honolulu, HI"
