date,price,service,address
2018-10-30,2.79,Shell,"1025 W Broadway, Louisville, KY"
2018-10-30,2.79,Valero,"1420 W Broadway, Louisville, KY"
2018-10-30,2.79,Thorntons,"100 W Broadway, Louisville, KY"
2018-10-30,2.77,Marathon,"1711 W Broadway, Louisville, KY"
2018-10-30,2.79,Speedway,"2112 Duncan St, Louisville, KY"
2018-10-30,2.79,Marathon,"521 N 22nd St, Louisville, KY"
2018-10-30,2.79,Shell,"2100 Portland Ave, Louisville, KY"
2018-10-30,2.79,BP,"601 E Broadway , Louisville, KY"
2018-10-30,2.66,Thorntons,"401 W Court Ave, Jeffersonville, IN"
2018-10-30,2.91,Minit Mart,"1123 So Floyd St, Louisville, KY"
2018-10-30,2.79,Dino's Food Mart,"2601 W Broadway, Louisville, KY"
2018-10-30,2.89,Louisville N Camp,"900 Marriott Dr, Clarksville, IN"
2018-10-30,2.79,Dairy Mart,"2728 W Market St, Louisville, KY"
2018-10-30,2.89,Louisville Metro,"900 Marriott Dr, Clarksville, IN"
2018-10-30,2.79,Kroger,"2710 W Broadway, Louisville, KY"
2018-10-30,2.99,Louisville North Camp,"900 Marriott Dr, Clarksville, IN"
2018-10-30,2.66,Thorntons,"206 E 10th St, Jeffersonville, IN"
2018-10-30,2.75,IGA Express,"501 Licking Pike, Wilder, KY"
2018-10-30,2.69,Speedway,"3926 Winston Ave, Covington, KY"
2018-10-30,2.74,United Dairy Farmers,"509 Licking Pike, Wilder, KY"
2018-10-30,2.6,Sunoco,"3200 Madison Pike, Covington, KY"
2018-10-30,2.75,BP,"4301 Winston Ave, Covington, KY"
2018-10-30,2.89,Sunoco,"1318 Madison Ave, Covington, KY"
2018-10-30,2.75,Kroger,"4303 Winston Ave, Latonia, KY"
2018-10-30,2.79,Marathon,"420 W Pike St, Covington, KY"
2018-10-30,2.71,Marathon,"4802 Taylor Mill Rd, Taylor Mill, KY"
2018-10-30,2.79,Shell,"1804 Dixie Hwy, Fort Wright, KY"
2018-10-30,2.79,BP,"1750 Dixie Hwy, Fort Wright, KY"
2018-10-30,2.79,Gulf,"235 W 5th St, Covington, KY"
2018-10-30,2.75,Speedway,"1902 Monmouth St, Newport, KY"
2018-10-30,2.68,Shell,"207 W 4th St, Covington, KY"
2018-10-30,2.69,Ron's,"322 Greenup St, Covington, KY"
2018-10-30,2.68,Speedway,"610 W 5th St, Covington, KY"
2018-10-30,2.75,Speedway,"3395 Madison Pike, Fort Wright, KY"
2018-10-30,2.68,Speedway,"613 W 4th St, Covington, KY"
2018-10-30,2.74,United Dairy Farmers,"3410 Madison Pike, Fort Wright, KY"
2018-10-30,2.68,BP,"610 W 4th St, Covington, KY"
2018-10-30,2.68,Kroger,"130 Pavilion Parkway, Newport, KY"
2018-10-30,2.68,Shell,"136 6th Ave, Dayton, KY"
2018-10-30,2.69,BP,"30 Donnermeyer Dr, Bellevue, KY"
2018-10-30,2.75,Marathon,"602 Dayton Ave, Dayton, KY"
2018-10-30,2.68,Speedway,"402 E 10th St, Newport, KY"
2018-10-30,2.75,Speedway,"1902 Monmouth St, Newport, KY"
2018-10-30,2.69,Marathon,"2377 Victory Pkwy, Cincinnati, OH"
2018-10-30,2.69,United Dairy Farmers,"2607 Victory Pkwy, Cincinnati, OH"
2018-10-30,2.69,Ron's,"322 Greenup St, Covington, KY"
2018-10-30,2.75,Shell,"2330 Reading Rd, Cincinnati, OH"
2018-10-30,2.79,BP,"709 Highland Ave, Fort Thomas, KY"
2018-10-30,2.75,Shell,"30 E Liberty St, Cincinnati, OH"
2018-10-30,2.68,Shell,"207 W 4th St, Covington, KY"
2018-10-30,2.79,Gulf,"235 W 5th St, Covington, KY"
2018-10-30,2.89,Sunoco,"1318 Madison Ave, Covington, KY"
2018-10-30,2.79,Shell,"430 Delta Ave, Cincinnati, OH"
2018-10-30,2.69,Marathon,"1225 W Ashland Ave, Louisville, KY"
2018-10-30,2.67,Marathon,"3400 Taylor Blvd, Louisville, KY"
2018-10-30,2.69,Shell,"4347 S 3rd St, Louisville, KY"
2018-10-30,2.69,Thorntons,"4500 3rd St , Louisville, KY"
2018-10-30,2.69,Speedway,"3030 Taylor Blvd, Louisville, KY"
2018-10-30,2.59,Speedway,"3915 Dixie Hwy, Shively, KY"
2018-10-30,2.69,Shell,"4701 S 3rd St, Louisville, KY"
2018-10-30,2.58,Shell,"4100 Dixie Hwy, Louisville, KY"
2018-10-30,2.69,Kroger,"3165 S 2nd St, Louisville, KY"
2018-10-30,2.69,BP,"4953 Manslick Rd, Louisville, KY"
2018-10-30,2.69,Marathon,"6000 Manslick Rd, Louisville, KY"
2018-10-30,2.58,Speedway,"4417 Dixie Hwy, Louisville, KY"
2018-10-30,2.69,Marathon,"5620 S 3rd St, Louisville, KY"
2018-10-30,2.65,Speedway,"4300 Crittenden Dr, Louisville, KY"
2018-10-30,2.69,Shell,"4309 Crittenden Dr, Louisville, KY"
2018-10-30,2.69,Marathon,"2133 Dixie Hwy, Louisville, KY"
2018-10-30,2.41,SuperAmerica,"3393 Tates Creek Rd, Lexington, KY"
2018-10-30,2.43,Marathon,"1392 Trent Blvd, Lexington, KY"
2018-10-30,2.42,Kroger,"4153 Tates Creek Centre Dr, Lexington, KY"
2018-10-30,2.42,Minit Mart,"4201 Saron Dr, Lexington, KY"
2018-10-30,2.46,Shell,"3130 Pimlico Pkwy, Lexington, KY"
2018-10-30,2.43,Kroger,"4750 Hartland Pkwy, Lexington, KY"
2018-10-30,2.47,Shell,"3469 Buckhorn Dr, Lexington, KY"
2018-10-30,2.41,Speedway,"2910 Tates Creek Rd, Lexington, KY"
2018-10-30,2.54,Minit Mart,"3199 Nicholasville Rd, Lexington, KY"
2018-10-30,2.49,Speedway,"2490 Nicholasville Rd, Lexington, KY"
2018-10-30,2.64,Marathon,"100 East Tiverton Way, Lexington, KY"
2018-10-30,2.51,Shamrock,"460 Squires Rd, Lexington, KY"
2018-10-30,2.54,Kroger,"150 W Lowry Ln, Lexington, KY"
2018-10-30,2.57,Minit Mart,"4096 Nichols Park Dr, Lexington, KY"
2018-10-30,2.53,Minit Mart,"1975 Nicholasville Rd, Lexington, KY"
2018-10-30,2.48,Speedway,"2900 Richmond Rd, Lexington, KY"
2018-10-30,2.49,Minit Mart,"3110 Richmond Rd, Lexington, KY"
2018-10-30,2.59,Marathon,"647 W Main St, Lexington, KY"
2018-10-30,2.41,Speedway,"716 N Broadway, Lexington, KY"
2018-10-30,2.42,Marathon,"1150 Versailles Rd, Lexington, KY"
2018-10-30,2.49,Marathon,"300 N Martin Luther King Blvd, Lexington, KY"
2018-10-30,2.41,Speedway,"1401 Leestown Rd, Lexington, KY"
2018-10-30,2.41,Circle K,"1396 W Main St, Lexington, KY"
2018-10-30,2.39,Thorntons,"802 N Broadway St, Lexington, KY"
2018-10-30,2.39,Thorntons,"1311 Versailles Rd, Lexington, KY"
2018-10-30,2.49,Speedway,"1001 Georgetown Rd, Lexington, KY"
2018-10-30,2.41,Speedway,"803 S Broadway St, Lexington, KY"
