date,price,service,address
2018-10-30,2.99,Chevron,"111 Blvd NE, Atlanta, GA"
2018-10-30,2.99,BP,"610 Spring St NW, Atlanta, GA"
2018-10-30,2.99,BP,"245 Memorial Dr SE, Atlanta, GA"
2018-10-30,2.99,Shell,"486 Ponce De Leon Ave NE, Atlanta, GA"
2018-10-30,2.83,Texaco,"364 Hill St SE, Atlanta, GA"
2018-10-30,2.83,Shell,"387 Hill St SE, Atlanta, GA"
2018-10-30,2.93,Chevron,"371 Boulevard SE, Atlanta, GA"
2018-10-30,2.89,BP,"448 Boulevard SE, Atlanta, GA"
2018-10-30,2.99,Exxon,"479 Joseph E Boone Blvd NW, Atlanta, GA"
2018-10-30,2.99,Chevron,"74 Northside Dr SW, Atlanta, GA"
2018-10-30,2.99,Chevron,"548 Northside Dr NW, Atlanta, GA"
2018-10-30,2.99,Chevron,"1079 North Ave NE, Atlanta, GA"
2018-10-30,2.99,Chevron,"548 Northside Dr NW, Atlanta, GA"
2018-10-30,2.99,BP,"610 Spring St NW, Atlanta, GA"
2018-10-30,2.99,Chevron,"74 Northside Dr SW, Atlanta, GA"
2018-10-30,2.75,BP,"720 Donald Lee Hollowell Pkwy, Atlanta, GA"
2018-10-30,2.99,Texaco,"294 Northside Dr SW, Atlanta, GA"
2018-10-30,2.99,BP,"464 Windsor St, Atlanta, GA"
2018-10-30,2.99,BP,"356 Boulevard NE, Atlanta, GA"
2018-10-30,2.99,Shell,"490 Whitehall St SW, Atlanta, GA"
2018-10-30,2.99,BP,"245 Memorial Dr SE, Atlanta, GA"
2018-10-30,2.99,Chevron,"111 Blvd NE, Atlanta, GA"
2018-10-30,2.89,BP,"1001 Northside Dr NW, Atlanta, GA"
2018-10-30,2.99,Exxon,"634 Whitehall St SW, Atlanta, GA"
2018-10-30,2.99,Shell,"1695 Northside Dr NW, Atlanta, GA"
2018-10-30,2.99,Chevron,"1545 Northside Dr NW, Atlanta, GA"
2018-10-30,2.99,Shell,"608 14th St NW, Atlanta, GA"
2018-10-30,2.89,Shell,"1790 Howell Mill Rd NW, Atlanta, GA"
2018-10-30,2.89,BP,"1001 Northside Dr NW, Atlanta, GA"
2018-10-30,2.77,QuikTrip,"1678 Howell Mill Rd, Atlanta, GA"
2018-10-30,2.89,Shell,"1892 Howell Mill Rd NW, Atlanta, GA"
2018-10-30,2.75,BP,"720 Donald Lee Hollowell Pkwy, Atlanta, GA"
2018-10-30,2.99,BP,"610 Spring St NW, Atlanta, GA"
2018-10-30,3.09,Shell,"496 Plasters Ave NE, Atlanta, GA"
2018-10-30,3.19,BP,"3004 Piedmont Rd NE, Atlanta, GA"
2018-10-30,3.09,Shell,"2800 Buford Hwy, Brookhaven, GA"
2018-10-30,3.09,Chevron,"2911 Buford Hwy, Brookhaven, GA"
2018-10-30,2.79,QuikTrip,"761 Sidney Marcus Blvd NE, Atlanta, GA"
2018-10-30,2.89,CITGO,"3107 Buford Hwy NE, Brookhaven, GA"
2018-10-30,3.09,Shell,"2080 N Druid Hills Rd, Brookhaven, GA"
2018-10-30,3.09,Exxon,"2055 N Druid Hills Rd, Brookhaven, GA"
