date,price,service,address
2018-10-30,2.59,Spirit,"1130 Williamson St, Madison, WI"
2018-10-30,2.63,Kwik Trip,"401 N 3rd St, Madison, WI"
2018-10-30,2.63,CITGO,"2301 Commercial Ave, Madison, WI"
2018-10-30,2.69,BP,"1010 N Sherman Ave, Madison, WI"
2018-10-30,2.63,Capitol Petro Mart,"2702 E Washington Ave, Madison, WI"
2018-10-30,2.59,BP,"2801 Atwood Ave, Madison, WI"
2018-10-30,2.62,Mobil,"3019 E Washington Ave, Madison, WI"
2018-10-30,2.65,Capitol Petro Mart,"1101 N Sherman Ave, Madison, WI"
2018-10-30,2.65,Mobil,"2601 Shopko Dr, Madison, WI"
2018-10-30,2.55,CITGO,"3401 Milwaukee St, Madison, WI"
2018-10-30,2.69,Mobil,"636 W Washington Ave, Madison, WI"
2018-10-30,2.55,Woodman's,"3817 Milwaukee St, Madison, WI"
2018-10-30,2.75,U.S.,"220 Cottage Grove Rd, Madison, WI"
2018-10-30,2.63,Mobil,"3101 N Sherman Ave, Madison, WI"
2018-10-30,2.55,Fast Track,"3505 E Washington Ave, Madison, WI"
2018-10-30,2.55,Kwik Trip,"3528 E Washington Ave, Madison, WI"
2018-10-30,2.73,BP,"318 S Park St, Madison, WI"
2018-10-30,2.79,BP,"350 N Plankinton Ave, Milwaukee, WI"
2018-10-30,2.65,BP,"914 W National Ave, Milwaukee, WI"
2018-10-30,2.65,City Oil,"840 W Virginia St, Milwaukee, WI"
2018-10-30,2.69,Clark,"1400 S 6th St, Milwaukee, WI"
2018-10-30,2.69,BP,"536 W Lapham Blvd, Milwaukee, WI"
2018-10-30,2.69,CITGO,"605 W Lapham Blvd, Milwaukee, WI"
2018-10-30,2.79,BP,"1202 W Highland Ave, Milwaukee, WI"
2018-10-30,2.59,CITGO,"610 W Becher St, Milwaukee, WI"
2018-10-30,2.65,CITGO,"1831 W National Ave, Milwaukee, WI"
2018-10-30,2.77,Falcon Fuel,"1530 W State St, Milwaukee, WI"
2018-10-30,2.64,Clark,"1418 S Muskego Ave, Milwaukee, WI"
2018-10-30,2.64,BP," 2023 S Kinnickinnic Ave, Milwaukee, WI"
2018-10-30,2.59,ASR Petroleum,"575 W Becher St, Milwaukee, WI"
2018-10-30,2.89,Gill Petroleum,"2310 W Greenfield Ave, Milwaukee, WI"
2018-10-30,2.79,BP,"1030 E North Ave, Milwaukee, WI"
2018-10-30,2.69,CITGO,"408 W North Ave, Milwaukee, WI"
2018-10-30,2.79,BP,"350 N Plankinton Ave, Milwaukee, WI"
2018-10-30,2.79,BP,"1202 W Highland Ave, Milwaukee, WI"
2018-10-30,2.79,BP,"2426 N Farwell Ave, Milwaukee, WI"
2018-10-30,2.77,Falcon Fuel,"1530 W State St, Milwaukee, WI"
2018-10-30,2.69,24/7 Petroleum,"1319 W North Ave, Milwaukee, WI"
2018-10-30,2.89,BP,"232 W Locust St, Milwaukee, WI"
2018-10-30,2.69,Mobil,"605 S 1st St, Milwaukee, WI"
2018-10-30,2.65,City Oil,"840 W Virginia St, Milwaukee, WI"
2018-10-30,2.65,BP,"914 W National Ave, Milwaukee, WI"
2018-10-30,2.65,Dave's Beacon Service,"4527 W Lisbon Ave, Milwaukee, WI"
2018-10-30,2.65,Independent,"2175 N 35th St, Milwaukee, WI"
2018-10-30,2.69,Clark,"4950 W Lisbon Ave, Milwaukee, WI"
2018-10-30,2.59,G.P.C. Quik Mart,"3115 W Fond du Lac Ave, Milwaukee, WI"
2018-10-30,2.65,Gas Depot,"2707 W Burleigh St, Milwaukee, WI"
2018-10-30,2.69,CITGO,"3033 W Lisbon Ave, Milwaukee, WI"
2018-10-30,2.59,CITGO,"4137 W Fond du lac Ave, Milwaukee, WI"
2018-10-30,2.59,Unbranded,"2304 W Fond du lac Ave, Milwaukee, WI"
2018-10-30,2.69,Clark,"5501 W Lisbon Ave, Milwaukee, WI"
2018-10-30,2.79,CITGO,"5758 W Appleton Ave, Milwaukee, WI"
2018-10-30,2.69,BP,"2624 W Lisbon Ave, Milwaukee, WI"
2018-10-30,2.59,Amstar,"4301 W Fond du Lac Ave, Milwaukee, WI"
2018-10-30,2.69,QM Express,"3611 W Vliet St, Milwaukee, WI"
2018-10-30,2.69,CITGO,"3308 W Vliet St, Milwaukee, WI"
2018-10-30,2.62,Marathon,"4312 W Fond du Lac Ave, Milwaukee, WI"
2018-10-30,2.69,BP,"1254 N 35th St, Milwaukee, WI"
2018-10-30,2.59,Petro Mart,"3425 W Oklahoma Ave, Milwaukee, WI"
