date,price,service,address
2018-10-30,3.09,Sunoco,"1442 U St NW, Washington, DC"
2018-10-30,2.95,Exxon,"2150 M St NW, Washington, DC"
2018-10-30,3.14,BP,"2600 14th St, Washington, DC"
2018-10-30,3.38,Exxon,"1601 Wisconsin Ave NW, Washington, DC"
2018-10-30,2.98,Shell,"1576 Wisconsin Ave NW, Washington, DC"
2018-10-30,3.07,BP,"1301 13th St NW, Washington, DC"
2018-10-30,2.99,Sunoco,"2643 Virginia Ave NW, Washington, DC"
2018-10-30,3.05,Valero,"2708 Virginia Ave NW, Washington, DC"
2018-10-30,3.03,Sunoco,"2830 Sherman Ave NW, Washington, DC"
2018-10-30,3.05,BP,"1317 9th St NW, Washington, DC"
2018-10-30,2.89,Valero,"420 Rhode Island Ave NW, Washington, DC"
2018-10-30,2.89,Marathon,"1739 New Jersey Ave NW, Washington, DC"
2018-10-30,3.09,Exxon,"3535 Connecticut Ave NW, Washington, DC"
2018-10-30,2.93,BP,"306 Rhode Island NW, Washington, DC"
2018-10-30,2.93,Valero,"20 Florida Ave NW, Washington, DC"
2018-10-30,3.07,BP,"1301 13th St NW, Washington, DC"
2018-10-30,2.95,Shell,"1800 18th St NW, Washington, DC"
2018-10-30,3.09,Sunoco,"1442 U St NW, Washington, DC"
2018-10-30,2.95,Exxon,"2150 M St NW, Washington, DC"
2018-10-30,2.89,Valero,"420 Rhode Island Ave NW, Washington, DC"
2018-10-30,2.89,Marathon,"1739 New Jersey Ave NW, Washington, DC"
2018-10-30,2.93,BP,"306 Rhode Island NW, Washington, DC"
2018-10-30,2.93,Valero,"20 Florida Ave NW, Washington, DC"
2018-10-30,2.93,Exxon,"1 Florida Ave NE, Washington, DC"
2018-10-30,2.99,Sunoco,"2643 Virginia Ave NW, Washington, DC"
2018-10-30,2.93,Mobil,"45 Florida Ave NE, Washington, DC"
2018-10-30,3.05,Valero,"2708 Virginia Ave NW, Washington, DC"
2018-10-30,3.14,BP,"2600 14th St, Washington, DC"
2018-10-30,3.03,Sunoco,"2830 Sherman Ave NW, Washington, DC"
2018-10-30,2.87,Marathon,"520 Florida Ave NE, Washington, DC"
2018-10-30,3.38,Exxon,"1601 Wisconsin Ave NW, Washington, DC"
2018-10-30,2.98,Shell,"1576 Wisconsin Ave NW, Washington, DC"
2018-10-30,3.14,BP,"2600 14th St, Washington, DC"
2018-10-30,3.03,Sunoco,"2830 Sherman Ave NW, Washington, DC"
2018-10-30,3.09,Sunoco,"1442 U St NW, Washington, DC"
2018-10-30,2.95,Shell,"1800 18th St NW, Washington, DC"
2018-10-30,3.09,Exxon,"3535 Connecticut Ave NW, Washington, DC"
2018-10-30,2.89,Marathon,"1739 New Jersey Ave NW, Washington, DC"
2018-10-30,2.89,Valero,"420 Rhode Island Ave NW, Washington, DC"
2018-10-30,3.07,BP,"1301 13th St NW, Washington, DC"
2018-10-30,2.93,BP,"306 Rhode Island NW, Washington, DC"
2018-10-30,3.05,BP,"1317 9th St NW, Washington, DC"
2018-10-30,2.95,Exxon,"2150 M St NW, Washington, DC"
2018-10-30,2.93,Valero,"20 Florida Ave NW, Washington, DC"
2018-10-30,3.38,Exxon,"1601 Wisconsin Ave NW, Washington, DC"
2018-10-30,2.98,Shell,"1576 Wisconsin Ave NW, Washington, DC"
2018-10-30,2.95,Exxon,"2150 M St NW, Washington, DC"
2018-10-30,2.99,Sunoco,"2643 Virginia Ave NW, Washington, DC"
2018-10-30,2.95,Shell,"1800 18th St NW, Washington, DC"
2018-10-30,3.38,Exxon,"1601 Wisconsin Ave NW, Washington, DC"
2018-10-30,2.98,Shell,"1576 Wisconsin Ave NW, Washington, DC"
2018-10-30,3.07,BP,"1301 13th St NW, Washington, DC"
2018-10-30,3.09,Sunoco,"1442 U St NW, Washington, DC"
2018-10-30,3.05,BP,"1317 9th St NW, Washington, DC"
2018-10-30,2.85,Exxon,"1824 Wilson Blvd , Arlington, VA"
2018-10-30,3.14,BP,"2600 14th St, Washington, DC"
2018-10-30,2.89,Valero,"420 Rhode Island Ave NW, Washington, DC"
2018-10-30,2.89,Marathon,"1739 New Jersey Ave NW, Washington, DC"
2018-10-30,2.93,BP,"306 Rhode Island NW, Washington, DC"
2018-10-30,2.93,Valero,"20 Florida Ave NW, Washington, DC"
2018-10-30,3.03,Sunoco,"2830 Sherman Ave NW, Washington, DC"
2018-10-30,2.87,Exxon,"2410 Lee Hwy, Arlington, VA"
2018-10-30,3.05,BP,"1317 9th St NW, Washington, DC"
2018-10-30,2.89,Marathon,"1739 New Jersey Ave NW, Washington, DC"
2018-10-30,2.93,BP,"306 Rhode Island NW, Washington, DC"
2018-10-30,2.93,Exxon,"1 Florida Ave NE, Washington, DC"
2018-10-30,2.89,Valero,"420 Rhode Island Ave NW, Washington, DC"
2018-10-30,2.93,Mobil,"45 Florida Ave NE, Washington, DC"
2018-10-30,3.07,BP,"1301 13th St NW, Washington, DC"
2018-10-30,3.03,Sunoco,"2830 Sherman Ave NW, Washington, DC"
2018-10-30,3.09,Sunoco,"1442 U St NW, Washington, DC"
2018-10-30,3.14,BP,"2600 14th St, Washington, DC"
2018-10-30,2.89,BP,"400 Rhode Island Ave NE, Washington, DC"
2018-10-30,2.87,Marathon,"520 Florida Ave NE, Washington, DC"
2018-10-30,2.95,Shell,"1800 18th St NW, Washington, DC"
2018-10-30,2.77,Valero,"925A Brentwood Rd NE, Washington, DC"
2018-10-30,2.75,CITGO,"1905A 9th St NE, Washington, DC"
2018-10-30,3.07,BP,"1301 13th St NW, Washington, DC"
