date,price,service,address
2018-10-30,2.95,Shell,"680 E 400 S, Salt Lake City, UT"
2018-10-30,2.94,Maverik,"508 East 300 South, Salt Lake City, UT"
2018-10-30,2.94,Smith's,"455 S 600 E, Salt Lake City, UT"
2018-10-30,2.99,Sinclair,"210 S 700 E, Salt Lake City, UT"
2018-10-30,2.95,Smith's,"876 E 800 S, Salt Lake City, UT"
2018-10-30,2.99,7-Eleven,"309 E 400 S, Salt Lake City, UT"
2018-10-30,2.99,Shell,"176 S 1300 E, Salt Lake City, UT"
2018-10-30,3.19,Craig's Service Center,"904 S 1300 E, Salt Lake City, UT"
2018-10-30,2.99,7-Eleven,"109 S 300 E, Salt Lake City, UT"
2018-10-30,2.99,Shell,"874 E 1300 S, Salt Lake City, UT"
2018-10-30,3.03,Chevron,"877 S State St, Salt Lake City, UT"
2018-10-30,2.99,7-Eleven,"510 E 1300 S, Salt Lake City, UT"
2018-10-30,3.19,Chevron,"504 S West Temple, Salt Lake City, UT"
2018-10-30,2.99,Sinclair,"105 West 600 South, Salt Lake City, UT"
2018-10-30,2.99,7-Eleven,"111 W 800 S, Salt Lake City, UT"
2018-10-30,2.98,Maverik,"615 South  200 West, Salt Lake City, UT"
2018-10-30,2.92,Shop n Save,"1302 S State St, Salt Lake City, UT"
2018-10-30,3.03,Chevron,"877 S State St, Salt Lake City, UT"
2018-10-30,2.94,Smith's,"455 S 600 E, Salt Lake City, UT"
2018-10-30,2.94,Maverik,"508 East 300 South, Salt Lake City, UT"
2018-10-30,2.95,Shell,"680 E 400 S, Salt Lake City, UT"
2018-10-30,2.99,Sinclair,"105 West 600 South, Salt Lake City, UT"
2018-10-30,2.99,7-Eleven,"510 E 1300 S, Salt Lake City, UT"
2018-10-30,3.19,Chevron,"504 S West Temple, Salt Lake City, UT"
2018-10-30,2.99,7-Eleven,"111 W 800 S, Salt Lake City, UT"
2018-10-30,2.92,Shop n Save,"1302 S State St, Salt Lake City, UT"
2018-10-30,2.98,Maverik,"615 South  200 West, Salt Lake City, UT"
2018-10-30,2.99,Maverik,"1270 South Main, Salt Lake City, UT"
2018-10-30,2.95,Smith's,"876 E 800 S, Salt Lake City, UT"
