date,price,service,address
2018-10-30,2.59,BP,"588 E Bay St, Charleston, SC"
2018-10-30,2.63,Exxon,"420 Meeting St , Charleston, SC"
2018-10-30,2.58,BP,"130 Rutledge Ave, Charleston, SC"
2018-10-30,2.59,Shell,"200 Spring St , Charleston, SC"
2018-10-30,2.65,VGO,"642 St Andrews Blvd, Charleston, SC"
2018-10-30,2.7,Clair's Service Station,"334 Folly Rd, Charleston, SC"
2018-10-30,2.69,Exxon,"235 Mathis Ferry Rd , Mount Pleasant, SC"
2018-10-30,2.71,Shell,"508 US-17 Byp , Mount Pleasant, SC"
2018-10-30,2.59,BP,"904 Saint Andrews Blvd, Charleston, SC"
2018-10-30,2.59,BP,"588 E Bay St, Charleston, SC"
2018-10-30,2.63,Exxon,"420 Meeting St , Charleston, SC"
2018-10-30,2.54,Shell,"320 Meeting St , Charleston, SC"
2018-10-30,2.59,Shell,"200 Spring St , Charleston, SC"
2018-10-30,2.58,BP,"130 Rutledge Ave, Charleston, SC"
2018-10-30,2.65,VGO,"642 St Andrews Blvd, Charleston, SC"
2018-10-30,2.59,BP,"904 Saint Andrews Blvd, Charleston, SC"
2018-10-30,2.7,Clair's Service Station,"334 Folly Rd, Charleston, SC"
2018-10-30,2.69,Exxon,"235 Mathis Ferry Rd , Mount Pleasant, SC"
2018-10-30,2.71,Shell,"508 US-17 Byp , Mount Pleasant, SC"
2018-10-30,2.55,Gasway,"2000 Rosewood Dr , Columbia, SC"
2018-10-30,2.69,BP,"2900 Rosewood Dr, Columbia, SC"
2018-10-30,2.65,BP,"2523 Devine St, Columbia, SC"
2018-10-30,2.55,Circle K,"3800 Rosewood Dr, Columbia, SC"
2018-10-30,2.59,Exxon,"3720 Rosewood Dr, Columbia, SC"
2018-10-30,2.54,Sunset Point,"1701 Rosewood Dr, Columbia, SC"
2018-10-30,2.49,Shell,"4452 Devine St, Columbia, SC"
2018-10-30,2.53,Shell,"831 Harden St, Columbia, SC"
2018-10-30,2.53,Shell,"2020 Gervais St, Columbia, SC"
2018-10-30,2.49,Shell,"4805 Garners Ferry Rd, Columbia, SC"
2018-10-30,2.63,Whaley St Gas,"1200 Whaley St, Columbia, SC"
2018-10-30,2.53,BP,"1609 Beltline Blvd, Columbia, SC"
2018-10-30,2.57,BP,"2501 Forest Dr, Forest Acres, SC"
2018-10-30,2.57,CITGO,"205 Assembly St, Columbia, SC"
2018-10-30,2.51,Shell,"1425 Bluff Rd, Columbia, SC"
2018-10-30,2.55,Exxon,"1501 Bluff Rd, Columbia, SC"
2018-10-30,2.59,The World of College Corner,"2367 Taylor St, Columbia, SC"
2018-10-30,2.69,BP,"905 Bluff Rd, Columbia, SC"
2018-10-30,2.59,Exxon,"1421 Gervais St, Columbia, SC"
2018-10-30,2.51,Exxon,"1027 Elmwood Ave, Columbia, SC"
2018-10-30,2.42,CITGO,"812 Meeting St, West Columbia, SC"
2018-10-30,2.51,Shell,"200 Knox Abbott Dr, Cayce, SC"
2018-10-30,2.49,Exxon,"439 Blossom St, Columbia, SC"
2018-10-30,2.45,BP,"436 Blossom St, Columbia, SC"
2018-10-30,2.64,Valero,"1101 State St, Cayce, SC"
2018-10-30,2.65,Shell,"830 Assembly St, Columbia, SC"
2018-10-30,2.43,El Cheapo,"2031 Bull St, Columbia, SC"
2018-10-30,2.59,Exxon,"1421 Gervais St, Columbia, SC"
2018-10-30,2.57,Valero,"2715 Main St, Columbia, SC"
2018-10-30,2.37,BP,"1190 Sunset Blvd, West Columbia, SC"
2018-10-30,2.51,Shell,"100 N 12th St, West Columbia, SC"
2018-10-30,2.39,Speedway,"1208 Sunset Blvd, West Columbia, SC"
2018-10-30,2.49,Sunoco,"625 Whaley St, Columbia, SC"
2018-10-30,2.59,Exxon,"321 Greystone Blvd, Columbia, SC"
2018-10-30,2.46,K-Stop,"1285 Augusta Rd, West Columbia, SC"
2018-10-30,2.47,Sunoco,"412 Charleston Hwy, West Columbia, SC"
2018-10-30,2.34,Xpressway,"750 Old Mill Rd, Mauldin, SC"
2018-10-30,2.41,Shell,"602 N Main St, Mauldin, SC"
2018-10-30,2.36,Yogi's,"206 N Main St, Mauldin, SC"
2018-10-30,2.39,QuikTrip,"304 W Butler Rd, Mauldin, SC"
2018-10-30,2.39,Speedway,"408 W Butler Rd, Mauldin, SC"
2018-10-30,2.45,BP,"627 N Main St, Mauldin, SC"
2018-10-30,2.35,GT'S  Express,"150 Old Mill Rd, Greenville, SC"
2018-10-30,2.39,Pavan,"310 E Butler Rd, Mauldin, SC"
2018-10-30,2.39,Spinx,"1625 NE Main St, Simpsonville, SC"
2018-10-30,2.34,Spinx,"549 E Standing Springs Rd, Simpsonville, SC"
2018-10-30,2.39,Spinx,"1004 E Butler Rd, Greenville, SC"
2018-10-30,2.46,Breakers,"395 Conestee Rd, Greenville, SC"
2018-10-30,2.41,QuikTrip,"1015 E Butler Rd, Greenville, SC"
2018-10-30,2.38,Sunoco,"1000 NE Main St, Simpsonville, SC"
2018-10-30,2.39,BP,"2990 Laurens Rd, Greenville, SC"
2018-10-30,2.33,Walmart,"115 SC-14, Simpsonville, SC"
