date,price,service,address
2018-10-30,2.49,Shell,"804 S College Ave, Newark, DE"
2018-10-30,2.49,Shell,"1005 S College Ave, Newark, DE"
2018-10-30,2.49,Exxon,"820 S College Ave, Newark, DE"
2018-10-30,2.47,Sunoco,"1106 S College Ave, Newark, DE"
2018-10-30,2.64,Sunoco,"287 S. Main Street, Newark, DE"
2018-10-30,2.54,BP,"121 Elkton Rd, Newark, DE"
2018-10-30,2.45,Shell,"380 East Chestnut Hill Rd, Newark, DE"
2018-10-30,2.43,Wawa,"601 Ogletown Rd, Newark, DE"
2018-10-30,2.45,Royal Farms,"865 Old Baltimore Pike, Newark, DE"
2018-10-30,2.49,Valero,"796 Old Baltimore Pike, Newark, DE"
2018-10-30,2.47,Wawa,"1657 Elkton Rd, Elkton, MD"
2018-10-30,2.47,7-Eleven,"1504 Elkton Rd, Elkton, MD"
2018-10-30,2.58,Liberty,"728 E Chestnut Hill Rd, Newark, DE"
2018-10-30,2.51,Mobil,"1400 Elkton Rd, Elkton, MD"
2018-10-30,2.39,Speedy Gas,"1205 Capitol Trl, Newark, DE"
2018-10-30,2.47,BP,"1400 Kirkwood Hwy, Newark, DE"
2018-10-30,2.69,Sunoco,"520 JFK Memorial Hwy, Newark, DE"
2018-10-30,2.47,Liberty,"1005 Elk Mills Rd, Elkton, MD"
2018-10-30,2.45,Shell,"668 Paper Mill Rd, Newark, DE"
2018-10-30,2.64,Sunoco,"287 S. Main Street, Newark, DE"
2018-10-30,2.43,Wawa,"601 Ogletown Rd, Newark, DE"
2018-10-30,2.45,Exxon,"263 E Chestnut Hill Rd, Newark, DE"
2018-10-30,2.49,Shell,"804 S College Ave, Newark, DE"
2018-10-30,2.45,Shell,"380 East Chestnut Hill Rd, Newark, DE"
2018-10-30,2.49,Exxon,"820 S College Ave, Newark, DE"
2018-10-30,2.45,Shell,"668 Paper Mill Rd, Newark, DE"
2018-10-30,2.49,Shell,"1005 S College Ave, Newark, DE"
2018-10-30,2.47,Sunoco,"1106 S College Ave, Newark, DE"
2018-10-30,2.39,Speedy Gas,"1205 Capitol Trl, Newark, DE"
2018-10-30,2.47,BP,"1400 Kirkwood Hwy, Newark, DE"
2018-10-30,2.47,Wawa,"1657 Elkton Rd, Elkton, MD"
2018-10-30,2.58,Liberty,"728 E Chestnut Hill Rd, Newark, DE"
2018-10-30,2.47,Wawa,"1750 Kirkwood Hwy, Newark, DE"
2018-10-30,2.45,Royal Farms,"865 Old Baltimore Pike, Newark, DE"
2018-10-30,2.49,Valero,"796 Old Baltimore Pike, Newark, DE"
2018-10-30,2.47,High's Dairy Store,"5655 Telegraph Rd, Elkton, MD"
2018-10-30,2.47,7-Eleven,"1504 Elkton Rd, Elkton, MD"
2018-10-30,2.51,Mobil,"1400 Elkton Rd, Elkton, MD"
2018-10-30,2.53,Sunoco,"3000 N Market St, Wilmington, DE"
2018-10-30,2.51,76,"4015 Governor Printz Blvd, Wilmington, DE"
2018-10-30,2.54,CITGO,"601 Concord Ave, Wilmington, DE"
2018-10-30,2.54,Shell,"4201 North Market St, Wilmington, DE"
2018-10-30,2.56,BP,"3507 Miller Rd, Wilmington, DE"
