date,price,service,address
2018-10-30,2.99,CITGO,"2001 Orleans St, Baltimore, MD"
2018-10-30,2.73,Mystik,"1026 Eastern Ave, Baltimore, MD"
2018-10-30,2.99,Sunoco,"1920 Orleans  St, Baltimore, MD"
2018-10-30,2.73,CITGO,"1500 Eastern Ave, Baltimore, MD"
2018-10-30,2.55,BP,"3505 Pulaski Hwy, Baltimore, MD"
2018-10-30,2.59,BP,"1465 Key Hwy, Baltimore, MD"
2018-10-30,2.59,Royal Farms,"1440 Key Hwy, Baltimore, MD"
2018-10-30,2.51,Carroll Motor Fuels,"4700 O'Donnell St, Baltimore, MD"
2018-10-30,2.49,BJ's,"4701 O'Donnell St, Baltimore, MD"
2018-10-30,2.55,Royal Farms,"4800 E O'Donnell St, Baltimore, MD"
2018-10-30,2.54,Royal Farms,"1200 Ponca St, Baltimore, MD"
2018-10-30,2.55,Shell,"5000 Pulaski Hwy, Baltimore, MD"
2018-10-30,2.59,Carroll Motor Fuels,"2040 N Howard St, Baltimore, MD"
2018-10-30,2.65,Marathon,"1801 N Charles St, Baltimore, MD"
2018-10-30,2.76,BP,"2725 Sisson St, Baltimore, MD"
2018-10-30,2.77,Exxon,"2500 N Howard St, Baltimore, MD"
2018-10-30,2.63,Gulf,"2617 Gwynns Falls Pkwy, Baltimore, MD"
2018-10-30,2.69,Marathon,"2414 Frederick Ave, Baltimore, MD"
2018-10-30,2.65,Marathon,"1801 N Charles St, Baltimore, MD"
2018-10-30,2.77,Exxon,"2500 N Howard St, Baltimore, MD"
2018-10-30,2.59,Carroll Motor Fuels,"2040 N Howard St, Baltimore, MD"
2018-10-30,2.76,BP,"2725 Sisson St, Baltimore, MD"
2018-10-30,2.69,CITGO,"2330 Harford Rd, Baltimore, MD"
2018-10-30,2.53,Crown,"1001 W North Ave, Baltimore, MD"
2018-10-30,2.73,Mystik,"1026 Eastern Ave, Baltimore, MD"
2018-10-30,2.65,Marathon,"1801 N Charles St, Baltimore, MD"
2018-10-30,2.59,CITGO,"1500 Russell St, Baltimore, MD"
2018-10-30,2.59,Royal Farms,"1530 Russell St, Baltimore, MD"
2018-10-30,2.73,CITGO,"1500 Eastern Ave, Baltimore, MD"
2018-10-30,2.53,Shell,"1712 Russell St, Baltimore, MD"
2018-10-30,2.65,BP,"2000 Haines St, Baltimore, MD"
2018-10-30,2.53,Crown,"1001 W North Ave, Baltimore, MD"
2018-10-30,2.59,Carroll Motor Fuels,"2040 N Howard St, Baltimore, MD"
2018-10-30,2.65,Exxon,"1800 Russell St, Baltimore, MD"
2018-10-30,2.69,Shell,"5398 Queens Chapel Rd, Hyattsville, MD"
2018-10-30,2.69,Exxon,"3200 Queens Chapel Rd, Hyattsville, MD"
2018-10-30,2.67,Sunoco,"3201 Queens Chapel Rd, Mount Rainier, MD"
2018-10-30,2.73,BP,"4501 Eastern  Ave, Mount Rainier, MD"
2018-10-30,2.63,Liberty,"3730 Rhode Island Ave, Brentwood, MD"
2018-10-30,2.63,CITGO,"4644 Baltimore Ave, Hyattsville, MD"
2018-10-30,2.89,Sunoco,"3599 East-West Hwy, Hyattsville, MD"
2018-10-30,2.75,Exxon,"3426 18th St NE, Washington, DC"
2018-10-30,2.69,Valero,"6038 Balitmore Ave, Riverdale, MD"
2018-10-30,2.65,Shell,"4801 Annapolis Rd, Bladensburg, MD"
2018-10-30,2.89,Exxon,"6117 Baltimore , Riverdale, MD"
2018-10-30,2.79,BP,"4925 South Dakota Ave NE, Washington, DC"
2018-10-30,2.79,Sunoco,"4836 Kenilworth Ave, Hyattsville, MD"
2018-10-30,2.75,Shell,"3701 12th St NE, Washington, DC"
2018-10-30,2.53,Sunoco,"4719 York Rd, Baltimore, MD"
